,score,component,cui,term,points
19,hasbled,bleeding_medications,S-9164311000001100,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets strawberry (Reckitt Benckiser Healthcare (UK) Ltd),1
20,hasbled,bleeding_medications,S-10768811000001100,Nurofen Extra Strength 400mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
21,hasbled,bleeding_medications,S-11934511000001100,Nurofen Express 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
22,hasbled,bleeding_medications,S-11934911000001100,Nurofen Express 400mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
23,hasbled,bleeding_medications,S-21524011000001100,Nurofen Express Period Pain 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
24,hasbled,bleeding_medications,S-23649611000001100,Nurofen for Children Cold Pain and Fever Strawberry Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),1
25,hasbled,bleeding_medications,S-23649811000001100,Nurofen for Children Cold Pain and Fever Orange Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),1
26,hasbled,bleeding_medications,S-31394911000001100,Nurofen Joint & Back Pain Relief 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
27,hasbled,bleeding_medications,S-31396411000001100,Nurofen Sinus Pressure & Headache Relief 200mg/30mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
28,hasbled,bleeding_medications,S-32390811000001100,Nurofen for Children 100mg chewable capsules (Reckitt Benckiser Healthcare (UK) Ltd),1
29,hasbled,bleeding_medications,S-477011000001101,Orbifen For Children 100mg/5ml oral suspension (Orbis Consumer Products Ltd),1
30,hasbled,bleeding_medications,S-7664811000001100,Orbifen For Children 100mg/5ml oral suspension 5ml sachets (Orbis Consumer Products Ltd),1
31,hasbled,bleeding_medications,S-8008611000001100,Sudafed Sinus Pressure & Pain tablets (McNeil Products Ltd),1
32,hasbled,bleeding_medications,S-34874211000001100,Sudafed Sinus Pain Relief 200mg/6.1mg tablets (McNeil Products Ltd),1
33,hasbled,bleeding_medications,S-29666011000001100,Care Ibuprofen for Children 100mg/5ml oral suspension (Thornton & Ross Ltd),1
34,hasbled,bleeding_medications,S-4535711000001100,Fenpaed 100mg/5ml oral suspension (Pinewood Healthcare),1
35,hasbled,bleeding_medications,S-7997311000001100,Mandafen for Children 100mg/5ml oral suspension sugar free (M & A Pharmachem Ltd),1
36,hasbled,bleeding_medications,S-7997811000001100,Mandafen 400mg tablets (M & A Pharmachem Ltd),1
37,hasbled,bleeding_medications,S-4585211000001100,Calprofen 100mg/5ml oral suspension (McNeil Products Ltd),1
38,hasbled,bleeding_medications,S-11753011000001100,Calprofen 100mg/5ml oral suspension 5ml sachets (McNeil Products Ltd),1
39,hasbled,bleeding_medications,S-9993111000001100,Galpharm Ibuprofen For Children 100mg/5ml oral suspension 5ml sachets (Galpharm International Ltd),1
40,hasbled,bleeding_medications,S-13636911000001100,Ibuprofen for Children 100mg/5ml oral suspension (Galpharm International Ltd),1
41,hasbled,bleeding_medications,S-17303111000001100,Galpharm Migraine Relief 200mg capsules (Galpharm International Ltd),1
42,hasbled,bleeding_medications,S-10194911000001100,Solpadeine Migraine Ibuprofen & Codeine tablets (Omega Pharma Ltd),1
43,hasbled,bleeding_medications,S-16528311000001100,Ibucalm 200mg tablets (Aspar Pharmaceuticals Ltd),1
44,hasbled,bleeding_medications,S-16528811000001100,Ibucalm 400mg tablets (Aspar Pharmaceuticals Ltd),1
45,hasbled,bleeding_medications,S-34790511000001100,Flarin 200mg capsules (infirst Healthcare Ltd),1
46,hasbled,bleeding_medications,S-36105911000001104,Ibular 200mg tablets (Ennogen Pharma Ltd),1
47,hasbled,bleeding_medications,S-36106111000001104,Ibular 400mg tablets (Ennogen Pharma Ltd),1
48,hasbled,bleeding_medications,S-36603011000001104,Ibuprofen Twelve Plus Pain Relief 200mg/5ml oral suspension (Aspire Pharma Ltd),1
49,hasbled,bleeding_medications,S-36760411000001104,Ibuprofen Seven Plus Pain Relief 200mg/5ml oral suspension (Aspire Pharma Ltd),1
50,hasbled,bleeding_medications,S-24411000001107,Indometacin 25mg capsules (Actavis UK Ltd),1
51,hasbled,bleeding_medications,S-387211000001109,Indometacin 25mg capsules (Alliance Healthcare (Distribution) Ltd),1
52,hasbled,bleeding_medications,S-564511000001104,Indometacin 25mg capsules (The Boots Company Plc),1
53,hasbled,bleeding_medications,S-746311000001109,Indometacin 25mg capsules (A A H Pharmaceuticals Ltd),1
54,hasbled,bleeding_medications,S-770811000001101,Indometacin 25mg capsules (Kent Pharmaceuticals Ltd),1
55,hasbled,bleeding_medications,S-4331311000001100,Indometacin 25mg capsules (Sandoz Ltd),1
56,hasbled,bleeding_medications,S-10381711000001100,Indometacin 25mg capsules (Arrow Generics Ltd),1
57,hasbled,bleeding_medications,S-11017711000001100,Indometacin 25mg capsules (Dr Reddy's Laboratories (UK) Ltd),1
58,hasbled,bleeding_medications,S-10239611000001100,Nurofen Maximum Strength Migraine Pain 684mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),1
59,hasbled,bleeding_medications,S-4603811000001100,Nurofen Migraine Pain 342mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),1
60,hasbled,bleeding_medications,S-9511211000001100,Nurofen Tension Headache 342mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),1
61,hasbled,bleeding_medications,S-11934111000001100,Nurofen Express 342mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),1
62,hasbled,bleeding_medications,S-11935111000001100,Nurofen Express 684mg caplets (Reckitt Benckiser Healthcare (UK) Ltd),1
63,hasbled,bleeding_medications,S-21679511000001100,Nurofen Express Soluble 400mg oral powder sachets (Reckitt Benckiser Healthcare (UK) Ltd),1
64,hasbled,bleeding_medications,S-17538811000001100,Feminax Express 342mg tablets (Bayer Plc),1
65,hasbled,bleeding_medications,S-2892711000001100,Keral 25mg tablets (A. Menarini Farmaceutica Internazionale SRL),1
66,hasbled,bleeding_medications,S-16236911000001100,Diclofenac potassium 25mg tablets (Accord Healthcare Ltd),1
67,hasbled,bleeding_medications,S-17014711000001100,Diclofenac potassium 25mg tablets (A A H Pharmaceuticals Ltd),1
68,hasbled,bleeding_medications,S-16237611000001100,Diclofenac potassium 50mg tablets (Accord Healthcare Ltd),1
69,hasbled,bleeding_medications,S-16650211000001100,Diclofenac potassium 50mg tablets (A A H Pharmaceuticals Ltd),1
70,hasbled,bleeding_medications,S-17664811000001100,Diclofenac potassium 50mg tablets (Focus Pharmaceuticals Ltd),1
71,hasbled,bleeding_medications,S-18341211000001100,Diclofenac potassium 50mg tablets (Alliance Healthcare (Distribution) Ltd),1
72,hasbled,bleeding_medications,S-18618611000001100,Diclofenac potassium 50mg tablets (Phoenix Healthcare Distribution Ltd),1
73,hasbled,bleeding_medications,S-30048011000001100,Diclofenac potassium 50mg tablets (DE Pharmaceuticals),1
74,hasbled,bleeding_medications,S-663411000001105,Voltarol Rapid 25mg tablets (Novartis Pharmaceuticals UK Ltd),1
75,hasbled,bleeding_medications,S-605911000001102,Voltarol Rapid 50mg tablets (Novartis Pharmaceuticals UK Ltd),1
76,hasbled,bleeding_medications,S-14033611000001100,Voltarol Pain-eze 12.5mg tablets (Novartis Consumer Health UK Ltd),1
77,hasbled,bleeding_medications,S-19363611000001100,Voltarol Pain-eze Extra Strength 25mg tablets (Novartis Consumer Health UK Ltd),1
78,hasbled,bleeding_medications,S-17526411000001100,Voltarol Joint Pain 12.5mg tablets (Novartis Consumer Health UK Ltd),1
79,hasbled,bleeding_medications,S-18637011000001100,First Resort Double Action Pain Relief 12.5mg tablets (Actavis UK Ltd),1
80,hasbled,bleeding_medications,S-28001111000001100,Celecoxib 100mg capsules (Teva UK Ltd),1
81,hasbled,bleeding_medications,S-28011711000001100,Celecoxib 100mg capsules (Upjohn UK Ltd),1
82,hasbled,bleeding_medications,S-28039011000001100,Celecoxib 100mg capsules (Alliance Healthcare (Distribution) Ltd),1
83,hasbled,bleeding_medications,S-28292711000001100,Celecoxib 100mg capsules (Zentiva),1
84,hasbled,bleeding_medications,S-28378211000001100,Celecoxib 100mg capsules (Actavis UK Ltd),1
85,hasbled,bleeding_medications,S-28378611000001100,Celecoxib 100mg capsules (A A H Pharmaceuticals Ltd),1
86,hasbled,bleeding_medications,S-29784511000001100,Celecoxib 100mg capsules (Sigma Pharmaceuticals Plc),1
87,hasbled,bleeding_medications,S-33136211000001100,Naproxen 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),1
88,hasbled,bleeding_medications,S-8638311000001100,Naproxen 250mg/5ml oral suspension (Special Order),1
89,hasbled,bleeding_medications,S-33743911000001100,Naproxen 50mg/ml oral suspension (Thornton & Ross Ltd),1
90,hasbled,bleeding_medications,S-34195911000001100,Naproxen 50mg/ml oral suspension (Alliance Healthcare (Distribution) Ltd),1
91,hasbled,bleeding_medications,S-34328011000001100,Naproxen 50mg/ml oral suspension (A A H Pharmaceuticals Ltd),1
92,hasbled,bleeding_medications,S-37609211000001104,Naproxen 50mg/ml oral suspension (DE Pharmaceuticals),1
93,hasbled,bleeding_medications,S-894311000001106,Naprosyn 250mg tablets (Atnahs Pharma UK Ltd),1
94,hasbled,bleeding_medications,S-162011000001106,Naprosyn 500mg tablets (Atnahs Pharma UK Ltd),1
95,hasbled,bleeding_medications,S-178811000001105,Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd),1
96,hasbled,bleeding_medications,S-611711000001104,Naprosyn EC 375mg tablets (Atnahs Pharma UK Ltd),1
97,hasbled,bleeding_medications,S-434011000001107,Naprosyn EC 500mg tablets (Atnahs Pharma UK Ltd),1
98,hasbled,bleeding_medications,S-61111000001105,Naprosyn S/R 500mg tablets (Roche Products Ltd),1
99,hasbled,bleeding_medications,S-15512111000001100,Feminax Ultra 250mg gastro-resistant tablets (Bayer Plc),1
100,hasbled,bleeding_medications,S-18233711000001100,Vimovo 500mg/20mg modified-release tablets (AstraZeneca UK Ltd),1
101,hasbled,bleeding_medications,S-31279811000001100,Stirlescent 250mg effervescent tablets (Stirling Anglian Pharmaceuticals Ltd),1
102,hasbled,bleeding_medications,S-36736411000001104,Nexocin EC 250mg gastro-resistant tablets (Noumed Life Sciences Ltd),1
103,hasbled,bleeding_medications,S-36737211000001104,Nexocin EC 500mg gastro-resistant tablets (Noumed Life Sciences Ltd),1
104,hasbled,bleeding_medications,S-10360711000001100,Phenylbutazone 100mg tablets (Alliance Healthcare (Distribution) Ltd),1
105,hasbled,bleeding_medications,S-10423311000001100,Phenylbutazone 100mg tablets (Essential Generics Ltd),1
106,hasbled,bleeding_medications,S-11256211000001100,Phenylbutazone 100mg tablets (A A H Pharmaceuticals Ltd),1
107,hasbled,bleeding_medications,S-10361211000001100,Phenylbutazone 200mg tablets (Alliance Healthcare (Distribution) Ltd),1
108,hasbled,bleeding_medications,S-10423711000001100,Phenylbutazone 200mg tablets (Essential Generics Ltd),1
109,hasbled,bleeding_medications,S-11256411000001100,Phenylbutazone 200mg tablets (A A H Pharmaceuticals Ltd),1
110,hasbled,bleeding_medications,S-286411000001100,Piroxicam 10mg capsules (Mylan),1
111,hasbled,bleeding_medications,S-310111000001102,Piroxicam 10mg capsules (IVAX Pharmaceuticals UK Ltd),1
112,hasbled,bleeding_medications,S-317911000001103,Piroxicam 10mg capsules (The Boots Company Plc),1
113,hasbled,bleeding_medications,S-385011000001106,Piroxicam 10mg capsules (Alliance Healthcare (Distribution) Ltd),1
114,hasbled,bleeding_medications,S-468211000001100,Piroxicam 10mg capsules (Actavis UK Ltd),1
115,hasbled,bleeding_medications,S-494511000001107,Piroxicam 10mg capsules (Approved Prescription Services Ltd),1
116,hasbled,bleeding_medications,S-349811000001107,Ibuprofen 600mg tablets (Teva UK Ltd),1
117,hasbled,bleeding_medications,S-372911000001106,Ibuprofen 600mg tablets film coated (Alliance Healthcare (Distribution) Ltd),1
118,hasbled,bleeding_medications,S-451211000001103,Ibuprofen 600mg tablets (A A H Pharmaceuticals Ltd),1
119,hasbled,bleeding_medications,S-641211000001103,Ibuprofen 600mg tablets (Actavis UK Ltd),1
120,hasbled,bleeding_medications,S-901511000001105,Ibuprofen 600mg tablets (Aspar Pharmaceuticals Ltd),1
121,hasbled,bleeding_medications,S-928211000001108,Ibuprofen 600mg tablets (Sterwin Medicines),1
122,hasbled,bleeding_medications,S-9805911000001100,Ibuprofen 600mg tablets (Almus Pharmaceuticals Ltd),1
123,hasbled,bleeding_medications,S-10379411000001100,Ibuprofen 600mg tablets (Arrow Generics Ltd),1
124,hasbled,bleeding_medications,S-11177711000001100,Ibuprofen 600mg tablets (Zentiva),1
125,hasbled,bleeding_medications,S-14773611000001100,Ibuprofen 600mg tablets (Boston Healthcare Ltd),1
126,hasbled,bleeding_medications,S-15101111000001100,Ibuprofen 600mg tablets (Sigma Pharmaceuticals Plc),1
127,hasbled,bleeding_medications,S-17931811000001100,Ibuprofen 600mg tablets (Phoenix Healthcare Distribution Ltd),1
128,hasbled,bleeding_medications,S-18078211000001100,Ibuprofen 600mg tablets (Fannin UK Ltd),1
129,hasbled,bleeding_medications,S-21033511000001100,Ibuprofen 600mg tablets (Bristol Laboratories Ltd),1
130,hasbled,bleeding_medications,S-22057111000001100,Ibuprofen 600mg tablets (Waymade Healthcare Plc),1
131,hasbled,bleeding_medications,S-36043011000001104,Ibuprofen 600mg tablets (Medreich Plc),1
132,hasbled,bleeding_medications,S-36080311000001104,Ibuprofen 600mg tablets (Crescent Pharma Ltd),1
133,hasbled,bleeding_medications,S-36513111000001104,Ibuprofen 600mg tablets (Dalkeith Laboratories Ltd),1
134,hasbled,bleeding_medications,S-36700311000001104,Ibuprofen 600mg tablets (Noumed Life Sciences Ltd),1
135,hasbled,bleeding_medications,S-37079111000001104,Ibuprofen 600mg tablets (Relonchem Ltd),1
136,hasbled,bleeding_medications,S-37422011000001104,Ibuprofen 600mg tablets (DE Pharmaceuticals),1
137,hasbled,bleeding_medications,S-23811000001106,Ibuprofen 100mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),1
138,hasbled,bleeding_medications,S-26311000001106,Ibuprofen 100mg/5ml oral suspension sugar free (Sandoz Ltd),1
139,hasbled,bleeding_medications,S-731611000001107,Ibuprofen 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),1
140,hasbled,bleeding_medications,S-3323411000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd),1
141,hasbled,bleeding_medications,S-5021111000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Vantage),1
142,hasbled,bleeding_medications,S-7944111000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Teva UK Ltd),1
143,hasbled,bleeding_medications,S-9209811000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Thornton & Ross Ltd),1
144,hasbled,bleeding_medications,S-13623411000001100,Ibuprofen 100mg/5ml oral suspension sugar free (Pinewood Healthcare),1
145,hasbled,bleeding_medications,S-429511000001103,Orudis 50mg capsules (Sanofi),1
146,hasbled,bleeding_medications,S-155411000001100,Oruvail 100 modified-release capsules (Sanofi),1
147,hasbled,bleeding_medications,S-345311000001100,Oruvail 200 modified-release capsules (Sanofi),1
148,hasbled,bleeding_medications,S-657811000001107,Oruvail 150 modified-release capsules (Sanofi),1
149,hasbled,bleeding_medications,S-419711000001102,Ketovail 100mg modified-release capsules (Teva UK Ltd),1
150,hasbled,bleeding_medications,S-106011000001106,Ketovail 200mg modified-release capsules (Teva UK Ltd),1
151,hasbled,bleeding_medications,S-482011000001109,Larafen CR 200mg capsules (Ennogen Pharma Ltd),1
152,hasbled,bleeding_medications,S-294311000001102,Ketocid 200 modified-release capsules (Chiesi Ltd),1
153,hasbled,bleeding_medications,S-98811000001106,Fenoket 200mg modified-release capsules (Opus Pharmaceuticals Ltd),1
154,hasbled,bleeding_medications,S-8211000001106,Ketotard XL 200mg capsules (Galen Ltd),1
155,hasbled,bleeding_medications,S-793611000001101,Valket 200 Retard capsules (Tillomed Laboratories Ltd),1
156,hasbled,bleeding_medications,S-804611000001103,Tiloket CR 100mg capsules (Tillomed Laboratories Ltd),1
157,hasbled,bleeding_medications,S-7498011000001100,Tiloket 50mg capsules (Tillomed Laboratories Ltd),1
158,hasbled,bleeding_medications,S-29742611000001100,Tiloket CR 200mg capsules (Tillomed Laboratories Ltd),1
159,hasbled,bleeding_medications,S-16148311000001100,Axorid 100mg/20mg modified-release capsules (Meda Pharmaceuticals Ltd),1
160,hasbled,bleeding_medications,S-16140611000001100,Axorid 200mg/20mg modified-release capsules (Meda Pharmaceuticals Ltd),1
161,hasbled,bleeding_medications,S-164411000001109,Mefenamic acid 250mg capsules (Zentiva),1
162,hasbled,bleeding_medications,S-188111000001107,Mefenamic acid 250mg capsules (Alliance Healthcare (Distribution) Ltd),1
163,hasbled,bleeding_medications,S-269111000001100,Mefenamic acid 250mg capsules (A A H Pharmaceuticals Ltd),1
164,hasbled,bleeding_medications,S-756011000001108,Mefenamic acid 250mg capsules (Mylan),1
165,hasbled,bleeding_medications,S-767711000001103,Mefenamic acid 250mg capsules (Kent Pharmaceuticals Ltd),1
166,hasbled,bleeding_medications,S-10389911000001100,Mefenamic acid 250mg capsules (Arrow Generics Ltd),1
167,hasbled,bleeding_medications,S-14945211000001100,Mefenamic acid 250mg capsules (Essential Generics Ltd),1
168,hasbled,bleeding_medications,S-17939411000001100,Mefenamic acid 250mg capsules (Phoenix Healthcare Distribution Ltd),1
169,hasbled,bleeding_medications,S-19310911000001100,Mefenamic acid 250mg capsules (Advanz Pharma),1
170,hasbled,bleeding_medications,S-21791511000001100,Mefenamic acid 250mg capsules (Waymade Healthcare Plc),1
171,hasbled,bleeding_medications,S-24378611000001100,Mefenamic acid 250mg capsules (DE Pharmaceuticals),1
172,hasbled,bleeding_medications,S-29904711000001100,Mefenamic acid 250mg capsules (Sigma Pharmaceuticals Plc),1
173,hasbled,bleeding_medications,S-186711000001109,Mefenamic acid 50mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd),1
174,hasbled,bleeding_medications,S-10378911000001100,Ibuprofen 200mg tablets (Arrow Generics Ltd),1
175,hasbled,bleeding_medications,S-11579811000001100,Ibuprofen 200mg tablets (Sandoz Ltd),1
176,hasbled,bleeding_medications,S-13578911000001100,Ibuprofen 200mg tablets (DE Pharmaceuticals),1
177,hasbled,bleeding_medications,S-14772411000001100,Ibuprofen 200mg tablets (Boston Healthcare Ltd),1
178,hasbled,bleeding_medications,S-14784511000001100,Ibuprofen 200mg tablets (Galpharm International Ltd),1
179,hasbled,bleeding_medications,S-16056611000001100,Ibuprofen 200mg tablets (Bristol Laboratories Ltd),1
180,hasbled,bleeding_medications,S-17023611000001100,Ibuprofen 200mg tablets (BellSons & Co (Druggists) Ltd),1
181,hasbled,bleeding_medications,S-17931411000001100,Ibuprofen 200mg tablets (Phoenix Healthcare Distribution Ltd),1
182,hasbled,bleeding_medications,S-18074911000001100,Ibuprofen 200mg tablets (Fannin UK Ltd),1
183,hasbled,bleeding_medications,S-18557911000001100,Ibuprofen 200mg caplets (Bristol Laboratories Ltd),1
184,hasbled,bleeding_medications,S-22046511000001100,Ibuprofen 200mg tablets (Waymade Healthcare Plc),1
185,hasbled,bleeding_medications,S-27170011000001100,Ibuprofen 200mg caplets (Wockhardt UK Ltd),1
186,hasbled,bleeding_medications,S-28984611000001100,Ibuprofen 200mg tablets (Crescent Pharma Ltd),1
187,hasbled,bleeding_medications,S-29875911000001100,Ibuprofen 200mg tablets (Sigma Pharmaceuticals Plc),1
188,hasbled,bleeding_medications,S-30212411000001100,Ibuprofen 200mg tablets (Mawdsley-Brooks & Company Ltd),1
189,hasbled,bleeding_medications,S-35851611000001100,Ibuprofen 200mg tablets (Medreich Plc),1
190,hasbled,bleeding_medications,S-37862011000001104,Ibuprofen 200mg tablets (Actavis UK Ltd),1
191,hasbled,bleeding_medications,S-1511000001104,Ibuprofen 400mg tablets (Teva UK Ltd),1
192,hasbled,bleeding_medications,S-207911000001105,Ibuprofen 400mg tablets (Thornton & Ross Ltd),1
193,hasbled,bleeding_medications,S-273411000001104,Ibuprofen 400mg tablets film coated (Actavis UK Ltd),1
194,hasbled,bleeding_medications,S-333311000001102,Ibuprofen 400mg tablets (Vantage),1
195,hasbled,bleeding_medications,S-415811000001107,Ibuprofen 400mg tablets sugar coated (Actavis UK Ltd),1
196,hasbled,bleeding_medications,S-420811000001109,Ibuprofen 400mg tablets sugar coated (Kent Pharmaceuticals Ltd),1
197,hasbled,bleeding_medications,S-434811000001101,Ibuprofen 400mg tablets (Sterwin Medicines),1
198,hasbled,bleeding_medications,S-491911000001103,Ibuprofen 400mg tablets (Kent Pharmaceuticals Ltd),1
199,hasbled,bleeding_medications,S-497111000001108,Ibuprofen 400mg tablets (Alliance Healthcare (Distribution) Ltd),1
200,hasbled,bleeding_medications,S-522911000001108,Ibuprofen 400mg tablets (Aspar Pharmaceuticals Ltd),1
201,hasbled,bleeding_medications,S-644111000001107,Ibuprofen 400mg tablets (Ranbaxy (UK) Ltd),1
202,hasbled,bleeding_medications,S-714611000001102,Ibuprofen 400mg tablets (OBG Pharmaceuticals Ltd),1
203,hasbled,bleeding_medications,S-18722511000001100,Diclofenac sodium 50mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),1
204,hasbled,bleeding_medications,S-20323711000001100,Diclofenac sodium 50mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd),1
205,hasbled,bleeding_medications,S-21943211000001100,Diclofenac sodium 50mg gastro-resistant tablets (Waymade Healthcare Plc),1
206,hasbled,bleeding_medications,S-30049011000001100,Diclofenac sodium 50mg gastro-resistant tablets (DE Pharmaceuticals),1
207,hasbled,bleeding_medications,S-30825611000001100,Diclofenac sodium 50mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),1
208,hasbled,bleeding_medications,S-34603211000001100,Diclofenac sodium 50mg gastro-resistant tablets (Medreich Plc),1
209,hasbled,bleeding_medications,S-36785011000001104,Diclofenac sodium 50mg gastro-resistant tablets (Crescent Pharma Ltd),1
210,hasbled,bleeding_medications,S-37926911000001104,Diclofenac sodium 50mg gastro-resistant tablets (Dexcel-Pharma Ltd),1
211,hasbled,bleeding_medications,S-22679511000001100,Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets (A A H Pharmaceuticals Ltd),1
212,hasbled,bleeding_medications,S-11634411000001100,Diclofenac 50mg/5ml oral solution (Special Order),1
213,hasbled,bleeding_medications,S-8439611000001100,Diclofenac 25mg/5ml oral solution (Special Order),1
214,hasbled,bleeding_medications,S-8440111000001100,Diclofenac 25mg/5ml oral suspension (Special Order),1
215,hasbled,bleeding_medications,S-17359311000001100,Diclofenac 10mg dispersible tablets (Special Order),1
216,hasbled,bleeding_medications,S-11632711000001100,Diclofenac 12.5mg/5ml oral suspension (Special Order),1
217,hasbled,bleeding_medications,S-11633411000001100,Diclofenac 12.5mg/5ml oral solution (Special Order),1
218,hasbled,bleeding_medications,S-8438311000001100,Diclofenac 10mg/5ml oral solution (Special Order),1
219,hasbled,bleeding_medications,S-8438611000001100,Diclofenac 10mg/5ml oral suspension (Special Order),1
220,hasbled,bleeding_medications,S-15238211000001100,Diclofenac 100mg/5ml oral solution (Special Order),1
221,hasbled,bleeding_medications,S-15238511000001100,Diclofenac 100mg/5ml oral suspension (Special Order),1
222,hasbled,bleeding_medications,S-28414411000001100,Diclofenac 40mg/5ml oral solution (Special Order),1
223,hasbled,bleeding_medications,S-28414711000001100,Diclofenac 40mg/5ml oral suspension (Special Order),1
224,hasbled,bleeding_medications,S-11615511000001100,Diclofenac 50mg/5ml oral suspension (Drug Tariff Special Order),1
225,hasbled,bleeding_medications,S-2911000001100,Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),1
226,hasbled,bleeding_medications,S-745711000001100,Voltarol 50mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd),1
227,hasbled,bleeding_medications,S-804711000001107,Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd),1
228,hasbled,bleeding_medications,S-3354811000001100,Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd),1
229,hasbled,bleeding_medications,S-763111000001107,Voltarol 75mg SR tablets (Novartis Pharmaceuticals UK Ltd),1
230,hasbled,bleeding_medications,S-358411000001104,Rhumalgan CR 75 tablets (Sandoz Ltd),1
231,hasbled,bleeding_medications,S-324811000001106,Rhumalgan CR 100 tablets (Sandoz Ltd),1
232,hasbled,bleeding_medications,S-182611000001101,Diclofenac sodium 25mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd),1
233,hasbled,bleeding_medications,S-268911000001105,Diclofenac sodium 25mg gastro-resistant tablets (Sterwin Medicines),1
234,hasbled,bleeding_medications,S-271711000001109,Diclofenac sodium 25mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),1
235,hasbled,bleeding_medications,S-326211000001100,Diclofenac sodium 25mg gastro-resistant tablets (Pfizer Ltd),1
236,hasbled,bleeding_medications,S-530011000001108,Diclofenac sodium 25mg gastro-resistant tablets (Sandoz Ltd),1
